timestamp,true_z,est_z,z_error,covariance_scale_factor,noise_gate_active
5.515000,0.000000,-0.010427,0.010427,1.047619,0
5.517500,0.000000,-0.022753,0.022753,1.047619,0
5.520000,0.000000,-0.024435,0.024435,0.984127,0
5.522500,0.000000,-0.025497,0.025497,0.984127,0
5.525000,0.000000,-0.022898,0.022898,0.984127,0
5.527500,0.000000,-0.032864,0.032864,0.984127,0
5.530000,0.000000,-0.045172,0.045172,0.984127,0
5.532500,0.000000,-0.038664,0.038664,0.984127,0
5.535000,0.000000,-0.052501,0.052501,0.984127,0
5.537500,0.000000,-0.053152,0.053152,0.984127,0
5.540000,0.000000,-0.054695,0.054695,0.984127,0
5.542500,0.000000,-0.054196,0.054196,0.952381,0
5.545000,0.000000,-0.049955,0.049955,0.952381,0
5.547500,0.000000,-0.032429,0.032429,0.952381,0
5.550000,0.000000,-0.047330,0.047330,0.952381,0
5.552500,0.000000,-0.037136,0.037136,0.952381,0
5.555000,0.000000,-0.060874,0.060874,0.952381,0
5.557500,0.000000,-0.045181,0.045181,0.952381,0
5.560000,0.000000,-0.063945,0.063945,0.952381,0
5.562500,0.000000,-0.038670,0.038670,0.984127,0
5.565000,0.000000,-0.041230,0.041230,0.984127,0
5.567500,0.000000,-0.027640,0.027640,0.984127,0
5.570000,0.000000,-0.016441,0.016441,0.984127,0
5.572500,0.000000,-0.020114,0.020114,0.984127,0
5.575000,0.000000,-0.022942,0.022942,0.984127,0
5.577500,0.000000,-0.030238,0.030238,0.984127,0
5.580000,0.000000,-0.021817,0.021817,0.984127,0
5.582500,0.000000,-0.025196,0.025196,0.984127,0
5.585000,0.000000,-0.032240,0.032240,0.984127,0
5.587500,0.000000,-0.026152,0.026152,0.984127,0
5.590000,0.000000,-0.033906,0.033906,0.984127,0
5.592500,0.000000,-0.036017,0.036017,0.984127,0
5.595000,0.000000,-0.033914,0.033914,0.984127,0
5.597500,0.000000,-0.039004,0.039004,0.984127,0
5.600000,0.000000,-0.042607,0.042607,0.952381,0
5.602500,0.000000,-0.026287,0.026287,0.952381,0
5.605000,0.000000,-0.027469,0.027469,0.952381,0
5.607500,0.000000,-0.030130,0.030130,0.952381,0
5.610000,0.000000,-0.030908,0.030908,0.952381,0
5.612500,0.000000,-0.025532,0.025532,0.952381,0
5.615000,0.000000,-0.034803,0.034803,0.952381,0
5.617500,0.000000,-0.029581,0.029581,0.952381,0
5.620000,0.000000,-0.026285,0.026285,0.984127,0
5.622500,0.000000,-0.042381,0.042381,0.984127,0
5.625000,0.000000,-0.024180,0.024180,0.984127,0
5.627500,0.000000,-0.009668,0.009668,0.984127,0
5.630000,0.000000,-0.016937,0.016937,0.984127,0
5.632500,0.000000,-0.027030,0.027030,0.984127,0
5.635000,0.000000,-0.024069,0.024069,0.984127,0
5.637500,0.000000,-0.036817,0.036817,0.984127,0
5.640000,0.000000,-0.023583,0.023583,1.047619,0
5.642500,0.000000,-0.027109,0.027109,1.047619,0
5.645000,0.000000,-0.011799,0.011799,1.047619,0
5.647500,0.000000,-0.018867,0.018867,1.047619,0
5.650000,0.000000,-0.019339,0.019339,1.047619,0
5.652500,0.000000,-0.007379,0.007379,1.047619,0
5.655000,0.000000,-0.010083,0.010083,1.047619,0
5.657500,0.000000,-0.007340,0.007340,1.047619,0
5.660000,0.000000,0.001342,-0.001342,1.238095,0
5.662500,0.000000,-0.003038,0.003038,1.238095,0
5.665000,0.000000,-0.012873,0.012873,1.238095,0
5.667500,0.000000,-0.024060,0.024060,1.238095,0
5.670000,0.000000,-0.018836,0.018836,1.238095,0
5.672500,0.000000,-0.015270,0.015270,1.238095,0
5.675000,0.000000,-0.006410,0.006410,1.238095,0
5.677500,0.000000,-0.008442,0.008442,1.238095,0
5.680000,0.000000,-0.019472,0.019472,1.269841,0
5.682500,0.000000,-0.037538,0.037538,1.269841,0
5.685000,0.000000,-0.013905,0.013905,1.269841,0
5.687500,0.000000,-0.009373,0.009373,1.269841,0
5.690000,0.000000,-0.008047,0.008047,1.269841,0
5.692500,0.000000,-0.005618,0.005618,1.269841,0
5.695000,0.000000,-0.016942,0.016942,1.269841,0
5.697500,0.000000,-0.022896,0.022896,1.269841,0
5.700000,0.000000,-0.007583,0.007583,1.206349,0
5.702500,0.000000,-0.001822,0.001822,1.206349,0
5.705000,0.000000,-0.008228,0.008228,1.206349,0
5.707500,0.000000,-0.018391,0.018391,1.206349,0
5.710000,0.000000,-0.022267,0.022267,1.206349,0
5.712500,0.000000,-0.024345,0.024345,1.206349,0
5.715000,0.000000,-0.006298,0.006298,1.206349,0
5.717500,0.000000,-0.007728,0.007728,1.206349,0
5.720000,0.000000,-0.018127,0.018127,1.142857,0
5.722500,0.000000,-0.018138,0.018138,1.142857,0
5.725000,0.000000,-0.015270,0.015270,1.142857,0
5.727500,0.000000,-0.026252,0.026252,1.142857,0
5.730000,0.000000,-0.021930,0.021930,1.142857,0
5.732500,0.000000,-0.010547,0.010547,1.142857,0
5.735000,0.000000,-0.009016,0.009016,1.142857,0
5.737500,0.000000,-0.015855,0.015855,1.142857,0
5.740000,0.000000,-0.020113,0.020113,1.142857,0
5.742500,0.000000,-0.034660,0.034660,1.111111,0
5.745000,0.000000,-0.034880,0.034880,1.111111,0
5.747500,0.000000,-0.031048,0.031048,1.111111,0
5.750000,0.000000,-0.038308,0.038308,1.111111,0
5.752500,0.000000,-0.019585,0.019585,1.111111,0
5.755000,0.000000,-0.011830,0.011830,1.111111,0
5.757500,0.000000,-0.027754,0.027754,1.111111,0
5.760000,0.000000,-0.043024,0.043024,1.111111,0
5.762500,0.000000,-0.050906,0.050906,1.079365,0
5.765000,0.000000,-0.034808,0.034808,1.079365,0
5.767500,0.000000,-0.025528,0.025528,1.079365,0
5.770000,0.000000,-0.009745,0.009745,1.079365,0
5.772500,0.000000,-0.009365,0.009365,1.079365,0
5.775000,0.000000,-0.011027,0.011027,1.079365,0
5.777500,0.000000,-0.022220,0.022220,1.079365,0
5.780000,0.000000,-0.018347,0.018347,1.079365,0
5.782500,0.000000,-0.019728,0.019728,0.984127,0
5.785000,0.000000,-0.021445,0.021445,0.984127,0
5.787500,0.000000,-0.004698,0.004698,0.984127,0
5.790000,0.000000,-0.005803,0.005803,0.984127,0
5.792500,0.000000,0.007526,-0.007526,0.984127,0
5.795000,0.000000,-0.008355,0.008355,0.984127,0
5.797500,0.000000,0.018327,-0.018327,0.984127,0
5.800000,0.000000,0.014098,-0.014098,0.984127,0
5.802500,0.000000,0.020403,-0.020403,1.015873,0
5.805000,0.000000,0.028024,-0.028024,1.015873,0
5.807500,0.000000,0.022460,-0.022460,1.015873,0
5.810000,0.000000,0.029555,-0.029555,1.015873,0
5.812500,0.000000,0.036923,-0.036923,1.015873,0
5.815000,0.000000,0.029066,-0.029066,1.015873,0
5.817500,0.000000,0.021563,-0.021563,1.015873,0
5.820000,0.000000,0.021341,-0.021341,0.984127,0
5.822500,0.000000,0.019566,-0.019566,0.984127,0
5.825000,0.000000,0.032464,-0.032464,0.984127,0
5.827500,0.000000,0.038269,-0.038269,0.984127,0
5.830000,0.000000,0.036419,-0.036419,0.984127,0
5.832500,0.000000,0.041157,-0.041157,0.984127,0
5.835000,0.000000,0.020175,-0.020175,0.984127,0
5.837500,0.000000,0.013636,-0.013636,0.984127,0
5.840000,0.000000,0.015805,-0.015805,1.079365,0
